2025-09-16 16:24:12 | ZaaKy | development | zaaky.setup | INFO | logging_config.py:143 | Logging configuration initialized successfully
2025-09-16 16:24:12 | ZaaKy | development | zaaky.setup | INFO | logging_config.py:144 | Log file: logs/zaaky_20250916.log
2025-09-16 16:24:12 | ZaaKy | development | zaaky.setup | INFO | logging_config.py:145 | Log level: INFO
2025-09-16 16:24:12 | ZaaKy | development | zaaky.main | INFO | main.py:26 | Starting ZaaKy AI Platform...
2025-09-16 16:24:12 | ZaaKy | development | zaaky.main | INFO | main.py:39 | Configuration validated successfully
2025-09-16 16:24:12 | ZaaKy | development | zaaky.main | INFO | main.py:42 | Starting background worker...
2025-09-16 16:24:12 | ZaaKy | development | apscheduler.scheduler | INFO | base.py:507 | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2025-09-16 16:24:12 | ZaaKy | development | apscheduler.scheduler | INFO | base.py:1090 | Added job "process_pending_uploads" to job store "default"
2025-09-16 16:24:12 | ZaaKy | development | apscheduler.scheduler | INFO | base.py:214 | Scheduler started
2025-09-16 16:24:12 | ZaaKy | development | zaaky.main | INFO | main.py:45 | ZaaKy AI Platform started successfully
2025-09-16 16:24:42 | ZaaKy | development | apscheduler.executors.default | INFO | base.py:179 | Running job "process_pending_uploads (trigger: interval[0:00:30], next run at: 2025-09-16 16:25:12 CEST)" (scheduled at 2025-09-16 16:24:42.689504+02:00)
2025-09-16 16:24:44 | ZaaKy | development | httpx | INFO | _client.py:1025 | HTTP Request: GET https://raoonyyrzzftdenvknfi.supabase.co/rest/v1/uploads?select=%2A&status=eq.pending "HTTP/2 200 OK"
2025-09-16 16:24:44 | ZaaKy | development | apscheduler.executors.default | INFO | base.py:203 | Job "process_pending_uploads (trigger: interval[0:00:30], next run at: 2025-09-16 16:25:12 CEST)" executed successfully
2025-09-16 16:25:12 | ZaaKy | development | apscheduler.executors.default | INFO | base.py:179 | Running job "process_pending_uploads (trigger: interval[0:00:30], next run at: 2025-09-16 16:25:42 CEST)" (scheduled at 2025-09-16 16:25:12.689504+02:00)
2025-09-16 16:25:13 | ZaaKy | development | httpx | INFO | _client.py:1025 | HTTP Request: GET https://raoonyyrzzftdenvknfi.supabase.co/rest/v1/uploads?select=%2A&status=eq.pending "HTTP/2 200 OK"
2025-09-16 16:25:14 | ZaaKy | development | apscheduler.executors.default | INFO | base.py:203 | Job "process_pending_uploads (trigger: interval[0:00:30], next run at: 2025-09-16 16:25:42 CEST)" executed successfully
2025-09-16 16:25:23 | ZaaKy | development | zaaky.main | INFO | main.py:49 | Shutting down ZaaKy AI Platform...
2025-09-16 16:25:23 | ZaaKy | development | zaaky.main | INFO | main.py:51 | ZaaKy AI Platform shut down complete
2025-09-16 16:25:23 | ZaaKy | development | apscheduler.scheduler | INFO | base.py:245 | Scheduler has been shut down
2025-09-16 16:25:26 | ZaaKy | development | zaaky.setup | INFO | logging_config.py:143 | Logging configuration initialized successfully
2025-09-16 16:25:26 | ZaaKy | development | zaaky.setup | INFO | logging_config.py:144 | Log file: logs/zaaky_20250916.log
2025-09-16 16:25:26 | ZaaKy | development | zaaky.setup | INFO | logging_config.py:145 | Log level: INFO
2025-09-16 16:25:26 | ZaaKy | development | zaaky.main | INFO | main.py:26 | Starting ZaaKy AI Platform...
2025-09-16 16:25:26 | ZaaKy | development | zaaky.main | INFO | main.py:39 | Configuration validated successfully
2025-09-16 16:25:26 | ZaaKy | development | zaaky.main | INFO | main.py:42 | Starting background worker...
2025-09-16 16:25:26 | ZaaKy | development | apscheduler.scheduler | INFO | base.py:507 | Adding job tentatively -- it will be properly scheduled when the scheduler starts
